coin,average_liquidity,volatility
bitcoin,1164597458958.513,0.020999244628901858
dogecoin,49691159399.423744,0.05037810116678438
litecoin,30283509094.968784,0.050468202974232615
bitcoin-cash,5204747041.301925,0.03919322640739965
filecoin,4553069522.3752365,0.055147398810188805
bitcoin-cash-sv,628258183.0938463,0.04083167060548825
siacoin,433213995.9862511,0.04414673346085169
dash,1194647690.1428118,0.044800275927315544
solana,126956089645.37862,0.04660182119762611
tontoken,55673.62655130788,0.09059102452352115
ethereum,679143167028.8904,0.037516592963803594
tron,21307490806.10392,0.029788958673946993
avalanche-2,10994962992.390484,0.051167403230186856
near,5835124837.493943,0.05353092458780729
algorand,3148591248.5942383,0.048839126430662
polkadot,7007940957.062494,0.05010777695486819
sui,31206855332.962406,0.0648075448986892
cosmos,3834458451.6056886,0.050771984230712115
cardano,22769089326.40798,0.04920847141117603
constellation-staked-rpl,0.0,nan
aptos,6872622702.439104,0.057000813041077174
tezos,845264024.4579347,0.045597317490207144
injective-protocol,3173220730.118955,0.05713667687741764
vechain,1563610578.7653913,0.04842845497165671
stellar,7795587151.536921,0.04469720619936789
casper-network,258576003.86085787,0.06310576115593701
iota,837248046.1836319,0.05227671601604504
celo,824929106.2783012,0.04359862809496738
chiliz,1905631652.177465,0.053080215155390416
binancecoin,32472135000.672382,0.03818471965940924
bridged-usdc,446348097.26660854,0.0015068463344873235
chainlink,18547007831.26198,0.049033224901097544
leo-token,36342414.623082705,0.023761439064271413
shiba-inu,7624573935.856108,0.04870826485635629
uniswap,7579728933.746339,0.05629058391988844
dai,5723241810.393471,0.000444305569220136
ondo-finance,8425375918.157416,0.053014383973167774
aave,10503138047.141594,0.057512110398943675
proof-of-liquidity,106225.00123131822,0.06228064248682358
arbitrum,6359614091.837689,0.05698567206923642
optimism,5518302997.570176,0.06467583337617167
quant-network,1066507038.0701883,0.05457143414101156
the-graph,1526396628.3715603,0.04856738491959681
the-sandbox,2783810903.922544,0.05330857812755958
apecoin,2187406910.3402944,0.06469162120548946
zksync,1344675631.563741,0.0570982383355462
echelon-prime,226251241.0904934,0.07678323879729979
binance-usd,827850.3377659791,0.02357435171420055
decentraland,1583203257.4543667,0.04599115789871918
axie-infinity,1056525026.0394473,0.04804966328698602
basic-attention-token,488763674.19309306,0.046716761498788104
curve-dao-token,4065381214.329655,0.06729717639888763
wrapped-bitcoin,11793205731.808237,0.020501726650233105
